ctn1,cin1,cvn1,,ctn2,cin2,cvn2,,ctn3,cin3,cvn3,,ctn4,cin4,cvn4,,ctn4,cin5,cvn5
0,-0.003051757813,-0.0008964538574,,0,-0.003051757813,-0.0003051757813,,0,0.003051757813,0,,0,0.003051757813,-0.0003051757813,,0,0,-0.0003051757813
0.0001,0.003051757813,0.0003051757813,,0.0001,0,0,,0.0001,0,0,,0.0001,0,-0.001201629639,,0.0001,0.006103515625,-0.00150680542
0.0002,0,0,,0.0002,0,-0.0005912780762,,0.0002,0.006103515625,-0.001201629639,,0.0002,0.006103515625,-0.0008964538574,,0.0002,0.003051757813,-0.0003051757813
0.0003,0.009155273438,-0.0003051757813,,0.0003,0.003051757813,0,,0.0003,0.003051757813,-0.0008964538574,,0.0003,-0.006103515625,0,,0.0003,0.003051757813,-0.001201629639
0.0004,0.003051757813,0,,0.0004,-0.006103515625,-0.0008964538574,,0.0004,0.003051757813,-0.0008964538574,,0.0004,0.009155273438,-0.0005912780762,,0.0004,-0.003051757813,0
0.0005,0.003051757813,-0.00150680542,,0.0005,-0.003051757813,-0.001201629639,,0.0005,0,-0.0003051757813,,0.0005,0.006103515625,0,,0.0005,0,-0.0008964538574
0.0006,0,0,,0.0006,0.006103515625,-0.001201629639,,0.0006,0.006103515625,0,,0.0006,-0.006103515625,-0.0008964538574,,0.0006,0.006103515625,-0.0005912780762
0.0007,0,-0.0005912780762,,0.0007,0,-0.00150680542,,0.0007,0.006103515625,-0.001201629639,,0.0007,0.003051757813,0,,0.0007,0.003051757813,-0.0003051757813
0.0008,0.01220703125,0,,0.0008,0.006103515625,0,,0.0008,0,0,,0.0008,0.003051757813,-0.0003051757813,,0.0008,0.006103515625,-0.0008964538574
0.0009,0.003051757813,-0.0003051757813,,0.0009,0.009155273438,0.0003051757813,,0.0009,-0.003051757813,-0.0005912780762,,0.0009,0,-0.00150680542,,0.0009,0,0
0.001,-0.006103515625,-0.001201629639,,0.001,0,-0.0005912780762,,0.001,0,0,,0.001,0,0,,0.001,0,-0.00150680542
0.0011,-0.003051757813,0.0003051757813,,0.0011,0.006103515625,-0.0005912780762,,0.0011,0.003051757813,-0.0005912780762,,0.0011,-0.003051757813,0,,0.0011,0.003051757813,-0.0005912780762
